type,date,close
Marvel Comics: (United States),2022-09-03,44
Marvel Comics: (United States),2022-09-04,51
Marvel Comics: (United States),2022-09-05,46
Marvel Comics: (United States),2022-09-06,46
Marvel Comics: (United States),2022-09-07,43
Marvel Comics: (United States),2022-09-08,42
Marvel Comics: (United States),2022-09-09,59
Marvel Comics: (United States),2022-09-10,78
Marvel Comics: (United States),2022-09-11,76
Marvel Comics: (United States),2022-09-12,64
Marvel Comics: (United States),2022-09-13,45
Marvel Comics: (United States),2022-09-14,51
Marvel Comics: (United States),2022-09-15,34
Marvel Comics: (United States),2022-09-16,43
Marvel Comics: (United States),2022-09-17,49
Marvel Comics: (United States),2022-09-18,54
Marvel Comics: (United States),2022-09-19,42
Marvel Comics: (United States),2022-09-20,50
Marvel Comics: (United States),2022-09-21,41
Marvel Comics: (United States),2022-09-22,50
Marvel Comics: (United States),2022-09-23,59
Marvel Comics: (United States),2022-09-24,55
Marvel Comics: (United States),2022-09-25,51
Marvel Comics: (United States),2022-09-26,45
Marvel Comics: (United States),2022-09-27,45
Marvel Comics: (United States),2022-09-28,43
Marvel Comics: (United States),2022-09-29,49
Marvel Comics: (United States),2022-09-30,39
Marvel Comics: (United States),2022-10-01,53
Marvel Comics: (United States),2022-10-02,47
Marvel Comics: (United States),2022-10-03,49
Marvel Comics: (United States),2022-10-04,43
Marvel Comics: (United States),2022-10-05,49
Marvel Comics: (United States),2022-10-06,45
Marvel Comics: (United States),2022-10-07,55
Marvel Comics: (United States),2022-10-08,57
Marvel Comics: (United States),2022-10-09,64
Marvel Comics: (United States),2022-10-10,52
Marvel Comics: (United States),2022-10-11,41
Marvel Comics: (United States),2022-10-12,44
Marvel Comics: (United States),2022-10-13,52
Marvel Comics: (United States),2022-10-14,48
Marvel Comics: (United States),2022-10-15,52
Marvel Comics: (United States),2022-10-16,48
Marvel Comics: (United States),2022-10-17,44
Marvel Comics: (United States),2022-10-18,43
Marvel Comics: (United States),2022-10-19,36
Marvel Comics: (United States),2022-10-20,37
Marvel Comics: (United States),2022-10-21,40
Marvel Comics: (United States),2022-10-22,45
Marvel Comics: (United States),2022-10-23,45
Marvel Comics: (United States),2022-10-24,49
Marvel Comics: (United States),2022-10-25,44
Marvel Comics: (United States),2022-10-26,54
Marvel Comics: (United States),2022-10-27,48
Marvel Comics: (United States),2022-10-28,40
Marvel Comics: (United States),2022-10-29,49
Marvel Comics: (United States),2022-10-30,54
Marvel Comics: (United States),2022-10-31,43
Marvel Comics: (United States),2022-11-01,31
Marvel Comics: (United States),2022-11-02,52
Marvel Comics: (United States),2022-11-03,31
Marvel Comics: (United States),2022-11-04,36
Marvel Comics: (United States),2022-11-05,67
Marvel Comics: (United States),2022-11-06,47
Marvel Comics: (United States),2022-11-07,38
Marvel Comics: (United States),2022-11-08,37
Marvel Comics: (United States),2022-11-09,35
Marvel Comics: (United States),2022-11-10,42
Marvel Comics: (United States),2022-11-11,53
Marvel Comics: (United States),2022-11-12,72
Marvel Comics: (United States),2022-11-13,61
Marvel Comics: (United States),2022-11-14,61
Marvel Comics: (United States),2022-11-15,45
Marvel Comics: (United States),2022-11-16,43
Marvel Comics: (United States),2022-11-17,38
Marvel Comics: (United States),2022-11-18,38
Marvel Comics: (United States),2022-11-19,35
Marvel Comics: (United States),2022-11-20,47
Marvel Comics: (United States),2022-11-21,35
Marvel Comics: (United States),2022-11-22,43
Marvel Comics: (United States),2022-11-23,45
Marvel Comics: (United States),2022-11-24,56
Marvel Comics: (United States),2022-11-25,44
