"Day","type","close","date"
"9/3/22","DC Comics: (United States)",65,2022-09-03
"9/3/22","Marvel Comics: (United States)",44,2022-09-03
"9/4/22","DC Comics: (United States)",66,2022-09-04
"9/4/22","Marvel Comics: (United States)",51,2022-09-04
"9/5/22","DC Comics: (United States)",70,2022-09-05
"9/5/22","Marvel Comics: (United States)",46,2022-09-05
"9/6/22","DC Comics: (United States)",55,2022-09-06
"9/6/22","Marvel Comics: (United States)",46,2022-09-06
"9/7/22","DC Comics: (United States)",51,2022-09-07
"9/7/22","Marvel Comics: (United States)",43,2022-09-07
"9/8/22","DC Comics: (United States)",66,2022-09-08
"9/8/22","Marvel Comics: (United States)",42,2022-09-08
"9/9/22","DC Comics: (United States)",65,2022-09-09
"9/9/22","Marvel Comics: (United States)",59,2022-09-09
"9/10/22","DC Comics: (United States)",54,2022-09-10
"9/10/22","Marvel Comics: (United States)",78,2022-09-10
"9/11/22","DC Comics: (United States)",64,2022-09-11
"9/11/22","Marvel Comics: (United States)",76,2022-09-11
"9/12/22","DC Comics: (United States)",50,2022-09-12
"9/12/22","Marvel Comics: (United States)",64,2022-09-12
"9/13/22","DC Comics: (United States)",48,2022-09-13
"9/13/22","Marvel Comics: (United States)",45,2022-09-13
"9/14/22","DC Comics: (United States)",57,2022-09-14
"9/14/22","Marvel Comics: (United States)",51,2022-09-14
"9/15/22","DC Comics: (United States)",56,2022-09-15
"9/15/22","Marvel Comics: (United States)",34,2022-09-15
"9/16/22","DC Comics: (United States)",50,2022-09-16
"9/16/22","Marvel Comics: (United States)",43,2022-09-16
"9/17/22","DC Comics: (United States)",58,2022-09-17
"9/17/22","Marvel Comics: (United States)",49,2022-09-17
"9/18/22","DC Comics: (United States)",73,2022-09-18
"9/18/22","Marvel Comics: (United States)",54,2022-09-18
"9/19/22","DC Comics: (United States)",44,2022-09-19
"9/19/22","Marvel Comics: (United States)",42,2022-09-19
"9/20/22","DC Comics: (United States)",45,2022-09-20
"9/20/22","Marvel Comics: (United States)",50,2022-09-20
"9/21/22","DC Comics: (United States)",41,2022-09-21
"9/21/22","Marvel Comics: (United States)",41,2022-09-21
"9/22/22","DC Comics: (United States)",51,2022-09-22
"9/22/22","Marvel Comics: (United States)",50,2022-09-22
"9/23/22","DC Comics: (United States)",55,2022-09-23
"9/23/22","Marvel Comics: (United States)",59,2022-09-23
"9/24/22","DC Comics: (United States)",44,2022-09-24
"9/24/22","Marvel Comics: (United States)",55,2022-09-24
"9/25/22","DC Comics: (United States)",59,2022-09-25
"9/25/22","Marvel Comics: (United States)",51,2022-09-25
