Series ID,Region Name,Region Code,10/1/22
LBSNSA01,Alabama,1,57.4
LBSNSA02,Alaska,2,65.4
LBSNSA04,Arizona,4,61.5
LBSNSA05,Arkansas,5,56.6
LBSNSA06,California,6,62.1
LBSNSA08,Colorado,8,69.5
LBSNSA09,Connecticut,9,64.2
LBSNSA10,Delaware,10,60.5
LBSNSA11,District of Columbia,11,70.8
LBSNSA12,Florida,12,60
LBSNSA13,Georgia,13,61.8
LBSNSA15,Hawaii,15,60.8
LBSNSA16,Idaho,16,62.8
LBSNSA17,Illinois,17,64.1
LBSNSA18,Indiana,18,63.2
LBSNSA19,Iowa,19,68.3
LBSNSA20,Kansas,20,66.4
LBSNSA21,Kentucky,21,57.7
LBSNSA22,Louisiana,22,58.5
LBSNSA23,Maine,23,58.2
LBSNSA24,Maryland,24,65.5
LBSNSA25,Massachusetts,25,65.3
LBSNSA26,Michigan,26,59.7
LBSNSA27,Minnesota,27,67.8
LBSNSA28,Mississippi,28,54.6
LBSNSA29,Missouri,29,62.7
LBSNSA30,Montana,30,62.5
LBSNSA31,Nebraska,31,69.8
LBSNSA32,Nevada,32,61.4
LBSNSA33,New Hampshire,33,65.9
LBSNSA34,New Jersey,34,64.1
LBSNSA35,New Mexico,35,56.1
LBSNSA36,New York,36,60.6
LBSNSA37,North Carolina,37,60.7
LBSNSA38,North Dakota,38,68.7
LBSNSA39,Ohio,39,61.3
LBSNSA40,Oklahoma,40,60.8
LBSNSA41,Oregon,41,63.3
LBSNSA42,Pennsylvania,42,62.2
LBSNSA44,Rhode Island,44,63.9
LBSNSA45,South Carolina,45,56.6
LBSNSA46,South Dakota,46,68.8
LBSNSA47,Tennessee,47,59.5
LBSNSA48,Texas,48,63.7
LBSNSA49,Utah,49,68.5
LBSNSA50,Vermont,50,61.4
LBSNSA51,Virginia,51,63.9
LBSNSA53,Washington,53,64.8
LBSNSA54,West Virginia,54,55.1
LBSNSA55,Wisconsin,55,64.6
LBSNSA56,Wyoming,56,63.2
