Series ID,Region Name,Region Code,10/1/22
ALUR,Alabama,1,2.7
AKUR,Alaska,2,4.5
AZUR,Arizona,4,3.9
ARUR,Arkansas,5,3.6
CAUR,California,6,4
COUR,Colorado,8,3.6
CTUR,Connecticut,9,4.3
DEUR,Delaware,10,4.3
DCUR,District of Columbia,11,4.8
FLUR,Florida,12,2.7
GAUR,Georgia,13,2.9
HIUR,Hawaii,15,3.4
IDUR,Idaho,16,2.9
ILUR,Illinois,17,4.6
INUR,Indiana,18,3
IAUR,Iowa,19,2.9
KSUR,Kansas,20,2.8
KYUR,Kentucky,21,3.9
LAUR,Louisiana,22,3.3
MEUR,Maine,23,3.6
MDUR,Maryland,24,4.5
MAUR,Massachusetts,25,3.5
MIUR,Michigan,26,4.2
MNUR,Minnesota,27,2.1
MSUR,Mississippi,28,3.8
MOUR,Missouri,29,2.6
MTUR,Montana,30,3
NEUR,Nebraska,31,2.4
NVUR,Nevada,32,4.6
NHUR,New Hampshire,33,2.4
NJUR,New Jersey,34,3.5
NMUR,New Mexico,35,4.3
NYUR,New York,36,4.4
NCUR,North Carolina,37,3.8
NDUR,North Dakota,38,2.3
OHUR,Ohio,39,4.2
OKUR,Oklahoma,40,3.4
ORUR,Oregon,41,4.1
PAUR,Pennsylvania,42,4
RIUR,Rhode Island,44,3.4
SCUR,South Carolina,45,3.3
SDUR,South Dakota,46,2.4
TNUR,Tennessee,47,3.5
TXUR,Texas,48,4
UTUR,Utah,49,2.1
VTUR,Vermont,50,2.3
VAUR,Virginia,51,2.7
WAUR,Washington,53,3.8
WVUR,West Virginia,54,4
WIUR,Wisconsin,55,3.3
WYUR,Wyoming,56,3.5
